,Line item,stop_removed_keyword
0,bad debt,bad debt write bad debt write offs write bad debt write offs write bad debt write offs write bad debt write offs write bad debt write offs write bad debt write offs write bad debt write offs write bad debt write offs write bad debt write offs write bad debt write offs write bad debt write offs write bad debt write offs write bad debt write offs write bad debt write offs write bad debt write offs write bad debt write offs write bad debt write offs write bad debt write offs write bad debt write offs write bad debt write offs
1,bank charges,bank charges bank services bank service charges bank administration fee bank charges bank fees bank charges expense bank fees bank charges expense bank fees bank charges expense bank fees bank charges expense bank fees bank charges expense bank fees bank charges expense bank fees bank charges expense bank fees bank charges expense bank fees bank charges expense bank fees bank charges expense bank fees bank charges expense bank fees bank charges expense bank fees bank charges expense bank fees bank charges expense bank fees bank charges expense bank fees bank charges expense bank fees bank charges expense bank fees bank charges expense
2,strata suite,strata suite strata suite mortgage payment strata owned unit fees strata suite-property taxes strata 's suite strata fee rental unit strata fees strata suite 's property taxes mortgage principal guest suite expenses strata 's suite-property taxes strata 's suite expenses strata 's suite-property taxes strata 's suite expenses strata 's suite-property taxes strata 's suite expenses strata 's suite-property taxes strata 's suite expenses strata 's suite-property taxes strata 's suite expenses strata 's suite-property taxes strata 's suite expenses strata 's suite-property taxes strata 's suite expenses strata 's suite-property taxes strata 's suite expenses strata 's suite-property taxes strata 's suite expenses strata 's suite-property taxes strata 's suite expenses strata 's suite-property taxes strata 's suite expenses strata 's suite-property taxes strata 's suite expenses strata 's suite-property taxes strata 's suite expenses strata 's suite-property taxes strata 's suite expenses strata 's suite-property taxes strata 's suite expenses strata 's suite-property taxes strata 's suite expenses
3,caretaker suite,caretaker suite caretaker suite strata fees strata fees caretaker suite caretaker suite strata fees strata fees caretaker suite caretaker suite strata fees strata fees caretaker suite caretaker suite strata fees strata fees caretaker suite caretaker suite strata fees strata fees caretaker suite caretaker suite strata fees strata fees caretaker suite caretaker suite strata fees strata fees caretaker suite caretaker suite strata fees strata fees caretaker suite caretaker suite strata fees strata fees caretaker suite caretaker suite strata fees strata fees caretaker suite caretaker suite strata fees strata fees caretaker suite caretaker suite strata fees strata fees caretaker suite caretaker suite strata fees strata fees caretaker suite caretaker suite strata fees strata fees caretaker suite caretaker suite strata fees strata fees caretaker suite caretaker suite strata fees strata fees caretaker suite caretaker suite strata fees strata fees caretaker suite caretaker suite strata fees strata fees caretaker suite caretaker suite strata fees strata fees caretaker suite caretaker suite strata fees strata fees caretaker suite
4,consulting ,consulting additional services contracted services communications professional services professional fees consulting/depreciation/inspectn professional fees consulting/depreciation/inspectn professional fees consulting/depreciation/inspectn professional fees consulting/depreciation/inspectn professional fees consulting/depreciation/inspectn professional fees consulting/depreciation/inspectn professional fees consulting/depreciation/inspectn professional fees consulting/depreciation/inspectn professional fees consulting/depreciation/inspectn professional fees consulting/depreciation/inspectn professional fees consulting/depreciation/inspectn professional fees consulting/depreciation/inspectn professional fees consulting/depreciation/inspectn professional fees consulting/depreciation/inspectn professional fees consulting/depreciation/inspectn professional fees consulting/depreciation/inspectn professional fees consulting/depreciation/inspectn professional fees consulting/depreciation/inspectn professional fees
5,council stipend,council stipend committees committee remuneration committee member stipend committee costs council discretionary fund committee costs council discretionary fund committee costs council discretionary fund committee costs council discretionary fund committee costs council discretionary fund committee costs council discretionary fund committee costs council discretionary fund committee costs council discretionary fund committee costs council discretionary fund committee costs council discretionary fund committee costs council discretionary fund committee costs council discretionary fund committee costs council discretionary fund committee costs council discretionary fund committee costs council discretionary fund committee costs council discretionary fund committee costs council discretionary fund committee costs council discretionary fund committee costs
6,deficit recovery,deficit recovery recovery prior year deficit recovery deficit recovery prior year deficit recovery deficit recovery prior year deficit recovery deficit recovery prior year deficit recovery deficit recovery prior year deficit recovery deficit recovery prior year deficit recovery deficit recovery prior year deficit recovery deficit recovery prior year deficit recovery deficit recovery prior year deficit recovery deficit recovery prior year deficit recovery deficit recovery prior year deficit recovery deficit recovery prior year deficit recovery deficit recovery prior year deficit recovery deficit recovery prior year deficit recovery deficit recovery prior year deficit recovery deficit recovery prior year deficit recovery deficit recovery prior year deficit recovery deficit recovery prior year deficit recovery deficit recovery prior year deficit recovery deficit recovery prior year deficit recovery deficit
7,easement,easement easement area contribution easement area contribution easement area contribution easement area contribution easement area contribution easement area contribution easement area contribution easement area contribution easement area contribution easement area contribution easement area contribution easement area contribution easement area contribution easement area contribution easement area contribution easement area contribution easement area contribution easement area contribution easement area contribution easement area contribution easement area contribution easement area contribution easement area contribution easement area contribution easement area contribution easement area contribution easement area contribution easement area contribution easement area contribution easement area contribution easement area contribution easement area contribution easement area contribution easement area contribution easement area contribution easement area contribution easement area contribution easement area contribution easement area contribution easement area contribution
8,miscellaneous,miscellaneous miscellaneous expenses choa membership memberships subscriptions additional services social event funds records storage miscellaneous building expenses community events & gratuities gratuities community events & gratuities gratuities community events & gratuities gratuities community events & gratuities gratuities community events & gratuities gratuities community events & gratuities gratuities community events & gratuities gratuities community events & gratuities gratuities community events & gratuities gratuities community events & gratuities gratuities community events & gratuities gratuities community events & gratuities gratuities community events & gratuities gratuities community events & gratuities gratuities community events & gratuities gratuities community events & gratuities gratuities
9,printing & postage,printing & postage sundry postage & copies postage/printing & copying printing costs postage copying sundry strata post/copies photocopy & postage photocopy sundry expense miscellaneous/postage miscellaneous postage miscellaneous & postage office expenses supplies office expenses & supplies office expenses supplies photocopier sundry operating expenses duplication/postage/courier postage/copies property management office expenses photos postage courier office supplies duplicating office expenses office/postage/misc office expenses office/postage/misc office expenses office/postage/misc office expenses office/postage/misc office expenses office/postage/misc office expenses office/postage/misc office expenses office/postage/misc office expenses office/postage/misc
